PsetID,Baseline,Program,Outlays,Year
254,January 2009 Baseline,0. Mandatory,1,2009
254,January 2009 Baseline,0. Mandatory,2,2010
254,January 2009 Baseline,0. Mandatory,3,2011
254,January 2009 Baseline,0. Mandatory,4,2012
254,January 2009 Baseline,0. Mandatory,5,2013
254,January 2009 Baseline,0. Mandatory,6,2014
254,January 2009 Baseline,0. Mandatory,7,2015
254,January 2009 Baseline,0. Mandatory,8,2016
254,January 2009 Baseline,0. Mandatory,9,2017
254,January 2009 Baseline,0. Mandatory,10,2018
254,January 2009 Baseline,0. Mandatory,11,2019
254,January 2009 Baseline,1. Social Security,12,2009
254,January 2009 Baseline,1. Social Security,13,2010
254,January 2009 Baseline,1. Social Security,14,2011
254,January 2009 Baseline,1. Social Security,15,2012
254,January 2009 Baseline,1. Social Security,16,2013
254,January 2009 Baseline,1. Social Security,17,2014
254,January 2009 Baseline,1. Social Security,18,2015
254,January 2009 Baseline,1. Social Security,19,2016
254,January 2009 Baseline,1. Social Security,20,2017
254,January 2009 Baseline,1. Social Security,21,2018
254,January 2009 Baseline,1. Social Security,22,2019
254,January 2009 Baseline,2. Medicare,23,2009
254,January 2009 Baseline,2. Medicare,24,2010
254,January 2009 Baseline,2. Medicare,25,2011
254,January 2009 Baseline,2. Medicare,26,2012
254,January 2009 Baseline,2. Medicare,27,2013
254,January 2009 Baseline,2. Medicare,28,2014
254,January 2009 Baseline,2. Medicare,29,2015
254,January 2009 Baseline,2. Medicare,30,2016
254,January 2009 Baseline,2. Medicare,31,2017
254,January 2009 Baseline,2. Medicare,32,2018
254,January 2009 Baseline,2. Medicare,33,2019
254,January 2009 Baseline,3. Medicaid,34,2009
254,January 2009 Baseline,3. Medicaid,35,2010
254,January 2009 Baseline,3. Medicaid,36,2011
254,January 2009 Baseline,3. Medicaid,37,2012
254,January 2009 Baseline,3. Medicaid,38,2013
254,January 2009 Baseline,3. Medicaid,39,2014
254,January 2009 Baseline,3. Medicaid,40,2015
254,January 2009 Baseline,3. Medicaid,41,2016
254,January 2009 Baseline,3. Medicaid,42,2017
254,January 2009 Baseline,3. Medicaid,43,2018
254,January 2009 Baseline,3. Medicaid,44,2019
254,January 2009 Baseline,4. Other Mandatory,45,2009
254,January 2009 Baseline,4. Other Mandatory,46,2010
254,January 2009 Baseline,4. Other Mandatory,47,2011
254,January 2009 Baseline,4. Other Mandatory,48,2012
254,January 2009 Baseline,4. Other Mandatory,49,2013
254,January 2009 Baseline,4. Other Mandatory,50,2014
254,January 2009 Baseline,4. Other Mandatory,51,2015
254,January 2009 Baseline,4. Other Mandatory,52,2016
254,January 2009 Baseline,4. Other Mandatory,53,2017
254,January 2009 Baseline,4. Other Mandatory,54,2018
254,January 2009 Baseline,4. Other Mandatory,55,2019
254,January 2009 Baseline,5. Discretionary,56,2009
254,January 2009 Baseline,5. Discretionary,57,2010
254,January 2009 Baseline,5. Discretionary,58,2011
254,January 2009 Baseline,5. Discretionary,59,2012
254,January 2009 Baseline,5. Discretionary,60,2013
254,January 2009 Baseline,5. Discretionary,61,2014
254,January 2009 Baseline,5. Discretionary,62,2015
254,January 2009 Baseline,5. Discretionary,63,2016
254,January 2009 Baseline,5. Discretionary,64,2017
254,January 2009 Baseline,5. Discretionary,65,2018
254,January 2009 Baseline,5. Discretionary,66,2019
254,January 2009 Baseline,6. Defense Discretionary,67,2009
254,January 2009 Baseline,6. Defense Discretionary,68,2010
254,January 2009 Baseline,6. Defense Discretionary,69,2011
254,January 2009 Baseline,6. Defense Discretionary,70,2012
254,January 2009 Baseline,6. Defense Discretionary,71,2013
254,January 2009 Baseline,6. Defense Discretionary,72,2014
254,January 2009 Baseline,6. Defense Discretionary,73,2015
254,January 2009 Baseline,6. Defense Discretionary,74,2016
254,January 2009 Baseline,6. Defense Discretionary,75,2017
254,January 2009 Baseline,6. Defense Discretionary,76,2018
254,January 2009 Baseline,6. Defense Discretionary,77,2019
254,January 2009 Baseline,7. Nondefense Discretionary,78,2009
254,January 2009 Baseline,7. Nondefense Discretionary,79,2010
254,January 2009 Baseline,7. Nondefense Discretionary,80,2011
254,January 2009 Baseline,7. Nondefense Discretionary,81,2012
254,January 2009 Baseline,7. Nondefense Discretionary,82,2013
254,January 2009 Baseline,7. Nondefense Discretionary,83,2014
254,January 2009 Baseline,7. Nondefense Discretionary,84,2015
254,January 2009 Baseline,7. Nondefense Discretionary,85,2016
254,January 2009 Baseline,7. Nondefense Discretionary,86,2017
254,January 2009 Baseline,7. Nondefense Discretionary,87,2018
254,January 2009 Baseline,7. Nondefense Discretionary,88,2019
254,January 2009 Baseline,8. Net Interest,89,2009
254,January 2009 Baseline,8. Net Interest,90,2010
254,January 2009 Baseline,8. Net Interest,91,2011
254,January 2009 Baseline,8. Net Interest,92,2012
254,January 2009 Baseline,8. Net Interest,93,2013
254,January 2009 Baseline,8. Net Interest,94,2014
254,January 2009 Baseline,8. Net Interest,95,2015
254,January 2009 Baseline,8. Net Interest,96,2016
254,January 2009 Baseline,8. Net Interest,97,2017
254,January 2009 Baseline,8. Net Interest,98,2018
254,January 2009 Baseline,8. Net Interest,99,2019
254,January 2009 Baseline,9. Total Outlays,100,2009
254,January 2009 Baseline,9. Total Outlays,101,2010
254,January 2009 Baseline,9. Total Outlays,102,2011
254,January 2009 Baseline,9. Total Outlays,103,2012
254,January 2009 Baseline,9. Total Outlays,104,2013
254,January 2009 Baseline,9. Total Outlays,105,2014
254,January 2009 Baseline,9. Total Outlays,106,2015
254,January 2009 Baseline,9. Total Outlays,107,2016
254,January 2009 Baseline,9. Total Outlays,108,2017
254,January 2009 Baseline,9. Total Outlays,109,2018
254,January 2009 Baseline,9. Total Outlays,110,2019
264,March 2009 Baseline,0. Mandatory,111,2009
264,March 2009 Baseline,0. Mandatory,112,2010
264,March 2009 Baseline,0. Mandatory,113,2011
264,March 2009 Baseline,0. Mandatory,114,2012
264,March 2009 Baseline,0. Mandatory,115,2013
264,March 2009 Baseline,0. Mandatory,116,2014
264,March 2009 Baseline,0. Mandatory,117,2015
264,March 2009 Baseline,0. Mandatory,118,2016
264,March 2009 Baseline,0. Mandatory,119,2017
264,March 2009 Baseline,0. Mandatory,120,2018
264,March 2009 Baseline,0. Mandatory,121,2019
264,March 2009 Baseline,1. Social Security,122,2009
264,March 2009 Baseline,1. Social Security,123,2010
264,March 2009 Baseline,1. Social Security,124,2011
264,March 2009 Baseline,1. Social Security,125,2012
264,March 2009 Baseline,1. Social Security,126,2013
264,March 2009 Baseline,1. Social Security,127,2014
264,March 2009 Baseline,1. Social Security,128,2015
264,March 2009 Baseline,1. Social Security,129,2016
264,March 2009 Baseline,1. Social Security,130,2017
264,March 2009 Baseline,1. Social Security,131,2018
264,March 2009 Baseline,1. Social Security,132,2019
264,March 2009 Baseline,2. Medicare,133,2009
264,March 2009 Baseline,2. Medicare,134,2010
264,March 2009 Baseline,2. Medicare,135,2011
264,March 2009 Baseline,2. Medicare,136,2012
264,March 2009 Baseline,2. Medicare,137,2013
264,March 2009 Baseline,2. Medicare,138,2014
264,March 2009 Baseline,2. Medicare,139,2015
264,March 2009 Baseline,2. Medicare,140,2016
264,March 2009 Baseline,2. Medicare,141,2017
264,March 2009 Baseline,2. Medicare,142,2018
264,March 2009 Baseline,2. Medicare,143,2019
264,March 2009 Baseline,3. Medicaid,144,2009
264,March 2009 Baseline,3. Medicaid,145,2010
264,March 2009 Baseline,3. Medicaid,146,2011
264,March 2009 Baseline,3. Medicaid,147,2012
264,March 2009 Baseline,3. Medicaid,148,2013
264,March 2009 Baseline,3. Medicaid,149,2014
264,March 2009 Baseline,3. Medicaid,150,2015
264,March 2009 Baseline,3. Medicaid,151,2016
264,March 2009 Baseline,3. Medicaid,152,2017
264,March 2009 Baseline,3. Medicaid,153,2018
264,March 2009 Baseline,3. Medicaid,154,2019
264,March 2009 Baseline,4. Other Mandatory,155,2009
264,March 2009 Baseline,4. Other Mandatory,156,2010
264,March 2009 Baseline,4. Other Mandatory,157,2011
264,March 2009 Baseline,4. Other Mandatory,158,2012
264,March 2009 Baseline,4. Other Mandatory,159,2013
264,March 2009 Baseline,4. Other Mandatory,160,2014
264,March 2009 Baseline,4. Other Mandatory,161,2015
264,March 2009 Baseline,4. Other Mandatory,162,2016
264,March 2009 Baseline,4. Other Mandatory,163,2017
264,March 2009 Baseline,4. Other Mandatory,164,2018
264,March 2009 Baseline,4. Other Mandatory,165,2019
264,March 2009 Baseline,5. Discretionary,166,2009
264,March 2009 Baseline,5. Discretionary,167,2010
264,March 2009 Baseline,5. Discretionary,168,2011
264,March 2009 Baseline,5. Discretionary,169,2012
264,March 2009 Baseline,5. Discretionary,170,2013
264,March 2009 Baseline,5. Discretionary,171,2014
264,March 2009 Baseline,5. Discretionary,172,2015
264,March 2009 Baseline,5. Discretionary,173,2016
264,March 2009 Baseline,5. Discretionary,174,2017
264,March 2009 Baseline,5. Discretionary,175,2018
264,March 2009 Baseline,5. Discretionary,176,2019
264,March 2009 Baseline,6. Defense Discretionary,177,2009
264,March 2009 Baseline,6. Defense Discretionary,178,2010
264,March 2009 Baseline,6. Defense Discretionary,179,2011
264,March 2009 Baseline,6. Defense Discretionary,180,2012
264,March 2009 Baseline,6. Defense Discretionary,181,2013
264,March 2009 Baseline,6. Defense Discretionary,182,2014
264,March 2009 Baseline,6. Defense Discretionary,183,2015
264,March 2009 Baseline,6. Defense Discretionary,184,2016
