PsetID,Program,Outlays,Year
254,Medicare,600,2009
264,Medicare,600,2009
284,Medicare,600,2009
294,Medicare,600,2010
304,Medicare,600,2010
314,Medicare,600,2010
324,Medicare,600,2010
334,Medicare,600,2011
344,Medicare,600,2011
354,Medicare,600,2011
364,Medicare,600,2012
374,Medicare,600,2012
384,Medicare,600,2012
394,Medicare,600,2013
404,Medicare,600,2013
414,Medicare,600,2014
424,Medicare,600,2014
434,Medicare,600,2014
444,Medicare,600,2015
454,Medicare,600,2015
464,Medicare,600,2015
474,Medicare,600,2016
484,Medicare,600,2016
494,Medicare,600,2016
504,Medicare,600,2017
514,Medicare,600,2017
524,Medicare,600,2018
540,Medicare,600,2018
544,Medicare,600,2019
554,Medicare,600,2019
564,Medicare,600,2019
574,Medicare,600,2020
584,Medicare,600,2020
594,Medicare,600,2020
604,Medicare,600,2021
254,Medicare,600,2010
264,Medicare,600,2010
284,Medicare,600,2010
294,Medicare,600,2011
304,Medicare,600,2011
314,Medicare,600,2011
324,Medicare,600,2011
334,Medicare,600,2012
344,Medicare,600,2012
354,Medicare,600,2012
364,Medicare,600,2013
374,Medicare,600,2013
384,Medicare,600,2013
394,Medicare,600,2014
404,Medicare,600,2014
414,Medicare,600,2015
424,Medicare,600,2015
434,Medicare,600,2015
444,Medicare,600,2016
454,Medicare,600,2016
464,Medicare,600,2016
474,Medicare,600,2017
484,Medicare,600,2017
494,Medicare,600,2017
504,Medicare,600,2018
514,Medicare,600,2018
524,Medicare,600,2019
540,Medicare,600,2019
544,Medicare,600,2020
554,Medicare,600,2020
564,Medicare,600,2020
574,Medicare,600,2021
584,Medicare,600,2021
594,Medicare,600,2021
604,Medicare,600,2022
254,Medicare,600,2011
264,Medicare,600,2011
284,Medicare,600,2011
294,Medicare,600,2012
304,Medicare,600,2012
314,Medicare,600,2012
324,Medicare,600,2012
334,Medicare,600,2013
344,Medicare,600,2013
354,Medicare,600,2013
364,Medicare,600,2014
374,Medicare,600,2014
384,Medicare,600,2014
394,Medicare,600,2015
404,Medicare,600,2015
414,Medicare,600,2016
424,Medicare,600,2016
434,Medicare,600,2016
444,Medicare,600,2017
454,Medicare,600,2017
464,Medicare,600,2017
474,Medicare,600,2018
484,Medicare,600,2018
494,Medicare,600,2018
504,Medicare,600,2019
514,Medicare,600,2019
524,Medicare,600,2020
540,Medicare,600,2020
544,Medicare,600,2021
554,Medicare,600,2021
564,Medicare,600,2021
574,Medicare,600,2022
584,Medicare,600,2022
594,Medicare,600,2022
604,Medicare,600,2023
254,Medicare,600,2012
264,Medicare,600,2012
284,Medicare,600,2012
294,Medicare,600,2013
304,Medicare,600,2013
314,Medicare,600,2013
324,Medicare,600,2013
334,Medicare,600,2014
